simulation_id,auction_type,per_ruolo,agent_id,agent_type,total_evaluation,bestxi_evaluation,credits_spent,players_count,bestxi_budget
random_True_1,random,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,2.6860158311345645,2.0105540897097627,629,25,0.95
random_True_1,random,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.3192612137203166,1.712401055408971,587,25,0.99
random_True_1,random,True,RLDeepAgent,RLDeepAgent,1.7176781002638521,1.4881266490765173,425,25,
random_True_1,random,True,random_1,RandomAgent,1.6094986807387863,1.3060686015831136,415,25,
random_True_1,random,True,cap_tier,CapAgent,4.395778364116095,3.3060686015831133,997,25,0.95
random_True_1,random,True,dynamic_cap_tier,DynamicCapAgent,2.4643799472295513,1.912928759894459,626,25,0.95
random_True_1,random,True,cap_bestx1_balanced,CapAgent,3.8786279683377307,2.366754617414248,473,25,0.95
random_True_1,random,True,cap_bestx1_aggressive,CapAgent,2.9683377308707124,2.113456464379947,989,15,0.99
random_False_1,random,False,random_1,RandomAgent,1.3007915567282322,0.9973614775725594,288,25,
random_False_1,random,False,cap_bestx1_aggressive,CapAgent,3.9525065963060686,2.3562005277044857,989,25,0.99
random_False_1,random,False,cap_tier,CapAgent,5.472295514511873,4.110817941952506,1000,25,0.95
random_False_1,random,False,dynamic_cap_tier,DynamicCapAgent,1.6226912928759893,1.1029023746701845,287,25,0.95
random_False_1,random,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.5408970976253298,0.9155672823218998,214,25,0.95
random_False_1,random,False,cap_bestx1_balanced,CapAgent,4.949868073878628,3.203166226912929,994,25,0.95
random_False_1,random,False,RLDeepAgent,RLDeepAgent,1.8891820580474934,1.511873350923483,481,25,
random_False_1,random,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,3.3403693931398415,2.287598944591029,626,25,0.99
listone_True_1,listone,True,dynamic_cap_tier,DynamicCapAgent,2.366754617414248,1.7387862796833773,527,25,0.95
listone_True_1,listone,True,random_1,RandomAgent,1.0765171503957784,0.8548812664907652,247,25,
listone_True_1,listone,True,cap_tier,CapAgent,5.084432717678101,3.8601583113456464,990,25,0.95
listone_True_1,listone,True,cap_bestx1_aggressive,CapAgent,4.947229551451187,3.063324538258575,975,25,0.99
listone_True_1,listone,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.8575197889182058,1.1530343007915569,336,25,0.95
listone_True_1,listone,True,RLDeepAgent,RLDeepAgent,0.9709762532981531,0.7176781002638523,158,25,
listone_True_1,listone,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.598944591029024,1.9630606860158313,588,25,0.99
listone_True_1,listone,True,cap_bestx1_balanced,CapAgent,3.886543535620053,2.4617414248021112,620,24,0.95
listone_False_1,listone,False,RLDeepAgent,RLDeepAgent,0.9709762532981531,0.7176781002638523,146,25,
listone_False_1,listone,False,dynamic_cap_tier,DynamicCapAgent,1.9894459102902375,1.4670184696569921,446,25,0.95
listone_False_1,listone,False,cap_bestx1_balanced,CapAgent,3.955145118733509,2.6306068601583115,832,25,0.95
listone_False_1,listone,False,random_1,RandomAgent,1.474934036939314,1.2427440633245381,392,25,
listone_False_1,listone,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.7968337730870712,1.0633245382585752,258,25,0.95
listone_False_1,listone,False,cap_tier,CapAgent,4.306068601583114,3.2480211081794197,1000,25,0.95
listone_False_1,listone,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.6649076517150396,1.8073878627968336,602,25,0.99
listone_False_1,listone,False,cap_bestx1_aggressive,CapAgent,4.535620052770448,3.271767810026385,966,14,0.99
chiamata_True_1,chiamata,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,3.9762532981530345,2.6411609498680737,990,25,0.99
chiamata_True_1,chiamata,True,random_1,RandomAgent,3.978891820580475,2.0765171503957784,929,25,
chiamata_True_1,chiamata,True,cap_tier,CapAgent,4.0237467018469655,2.451187335092348,999,25,0.95
chiamata_True_1,chiamata,True,cap_bestx1_aggressive,CapAgent,4.2928759894459105,2.846965699208443,1000,25,0.99
chiamata_True_1,chiamata,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,3.984168865435356,2.6569920844327175,991,25,0.95
chiamata_True_1,chiamata,True,dynamic_cap_tier,DynamicCapAgent,4.021108179419525,2.6490765171503954,996,25,0.95
chiamata_True_1,chiamata,True,cap_bestx1_balanced,CapAgent,4.324538258575198,3.195250659630607,1000,25,0.95
chiamata_True_1,chiamata,True,RLDeepAgent,RLDeepAgent,2.6517150395778364,1.3562005277044855,988,13,
chiamata_False_1,chiamata,False,RLDeepAgent,RLDeepAgent,4.100263852242744,3.176781002638523,1000,25,
chiamata_False_1,chiamata,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,4.176781002638522,2.45910290237467,986,25,0.95
chiamata_False_1,chiamata,False,random_1,RandomAgent,3.891820580474934,2.7598944591029024,1000,25,
chiamata_False_1,chiamata,False,cap_bestx1_aggressive,CapAgent,3.836411609498681,2.2902374670184695,1000,25,0.99
chiamata_False_1,chiamata,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,4.153034300791557,2.6068601583113455,989,25,0.99
chiamata_False_1,chiamata,False,cap_tier,CapAgent,3.8601583113456464,3.108179419525066,1000,25,0.95
chiamata_False_1,chiamata,False,dynamic_cap_tier,DynamicCapAgent,4.139841688654354,2.812664907651715,998,25,0.95
chiamata_False_1,chiamata,False,cap_bestx1_balanced,CapAgent,3.41688654353562,2.055408970976253,993,18,0.95
