simulation_id,auction_type,per_ruolo,agent_id,agent_type,total_evaluation,bestxi_evaluation,credits_spent,players_count,bestxi_budget
random_False_1,random,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.778364116094987,1.0633245382585752,324,25,0.95
random_False_1,random,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,1.9287598944591031,1.3984168865435358,452,25,0.99
random_False_1,random,False,deep_agent_neural,RandomAgent,1.2216358839050132,1.0211081794195251,196,25,
random_False_1,random,False,random_1,RandomAgent,2.3192612137203166,1.9551451187335092,586,25,
random_False_1,random,False,cap_tier,CapAgent,4.37467018469657,3.33245382585752,990,25,0.95
random_False_1,random,False,dynamic_cap_tier,DynamicCapAgent,1.8944591029023743,1.4116094986807388,424,25,0.95
random_False_1,random,False,cap_bestx1_balanced,CapAgent,4.242744063324539,3.0,538,25,0.95
random_False_1,random,False,cap_bestx1_aggressive,CapAgent,3.440633245382586,2.6411609498680737,985,14,0.99
random_False_2,random,False,random_1,RandomAgent,1.7730870712401055,1.445910290237467,439,25,
random_False_2,random,False,cap_bestx1_aggressive,CapAgent,4.047493403693931,2.5910290237467017,995,25,0.99
random_False_2,random,False,cap_tier,CapAgent,5.783641160949867,4.564643799472295,1000,25,0.95
random_False_2,random,False,dynamic_cap_tier,DynamicCapAgent,1.6649076517150398,1.0976253298153034,288,25,0.95
random_False_2,random,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.4643799472295516,0.8627968337730871,222,25,0.95
random_False_2,random,False,cap_bestx1_balanced,CapAgent,5.113456464379947,3.6728232189973617,926,25,0.95
random_False_2,random,False,deep_agent_neural,RandomAgent,1.949868073878628,1.3799472295514512,521,25,
random_False_2,random,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,3.1873350923482855,2.12401055408971,568,25,0.99
random_False_3,random,False,dynamic_cap_tier,DynamicCapAgent,2.010554089709763,1.403693931398417,401,25,0.95
random_False_3,random,False,random_1,RandomAgent,1.8891820580474934,1.6332453825857518,533,25,
random_False_3,random,False,cap_tier,CapAgent,3.7651715039577835,2.704485488126649,989,25,0.95
random_False_3,random,False,cap_bestx1_aggressive,CapAgent,5.374670184696569,3.8865435356200533,995,25,0.99
random_False_3,random,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.8311345646437995,1.1398416886543536,285,25,0.95
random_False_3,random,False,deep_agent_neural,RandomAgent,1.6490765171503958,1.2427440633245384,321,25,
random_False_3,random,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,1.7229551451187335,1.150395778364116,338,25,0.99
random_False_3,random,False,cap_bestx1_balanced,CapAgent,6.058047493403695,4.065963060686016,814,25,0.95
random_False_4,random,False,deep_agent_neural,RandomAgent,1.2084432717678102,1.079155672823219,364,25,
random_False_4,random,False,dynamic_cap_tier,DynamicCapAgent,1.928759894459103,1.2717678100263854,423,25,0.95
random_False_4,random,False,cap_bestx1_balanced,CapAgent,4.67018469656992,3.6358839050131926,558,25,0.95
random_False_4,random,False,random_1,RandomAgent,1.4564643799472297,1.1952506596306067,344,25,
