simulation_id,auction_type,per_ruolo,agent_id,agent_type,total_evaluation,bestxi_evaluation,credits_spent,players_count,bestxi_budget
chiamata_True_3,chiamata,True,cap_tier,CapAgent,4.205804749340369,2.7229551451187333,1000,25,0.95
chiamata_True_3,chiamata,True,cap_bestx1_aggressive,CapAgent,3.7255936675461743,2.8733509234828496,990,25,0.99
chiamata_True_3,chiamata,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,4.097625329815304,2.4591029023746707,972,25,0.95
chiamata_True_3,chiamata,True,RLDeepAgent,RLDeepAgent,3.366754617414248,1.6121372031662269,1000,25,
chiamata_True_3,chiamata,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,3.926121372031662,2.2823218997361474,971,25,0.99
chiamata_True_3,chiamata,True,cap_bestx1_balanced,CapAgent,4.794195250659631,2.8548812664907652,1000,25,0.95
chiamata_True_4,chiamata,True,RLDeepAgent,RLDeepAgent,3.688654353562005,1.8073878627968336,1000,25,
chiamata_True_4,chiamata,True,dynamic_cap_tier,DynamicCapAgent,4.021108179419525,2.609498680738786,998,25,0.95
chiamata_True_4,chiamata,True,cap_bestx1_balanced,CapAgent,4.804749340369393,2.4722955145118735,765,25,0.95
chiamata_True_4,chiamata,True,random_1,RandomAgent,3.203166226912929,1.8126649076517152,1000,25,
chiamata_True_4,chiamata,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,3.992084432717678,2.467018469656992,997,25,0.95
chiamata_True_4,chiamata,True,cap_tier,CapAgent,4.160949868073879,2.7229551451187337,1000,25,0.95
chiamata_True_4,chiamata,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,3.970976253298153,2.390501319261214,995,25,0.99
chiamata_True_4,chiamata,True,cap_bestx1_aggressive,CapAgent,3.5567282321899736,2.7730870712401057,986,11,0.99
chiamata_True_5,chiamata,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,3.9762532981530345,2.6411609498680737,990,25,0.99
