simulation_id,auction_type,per_ruolo,agent_id,agent_type,total_evaluation,bestxi_evaluation,credits_spent,players_count,bestxi_budget
random_True_1,random,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,2.4485488126649075,1.754617414248021,531,25,0.95
random_True_1,random,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.807387862796834,2.3535620052770447,772,25,0.99
random_True_1,random,True,RLDeepAgent,RLDeepAgent,0.9261213720316622,0.7097625329815304,193,15,
random_True_1,random,True,random_1,RandomAgent,1.6965699208443272,1.3825857519788918,346,25,
random_True_1,random,True,cap_tier,CapAgent,3.978891820580475,2.963060686015831,987,25,0.95
random_True_1,random,True,dynamic_cap_tier,DynamicCapAgent,2.575197889182058,1.8733509234828496,655,25,0.95
random_True_1,random,True,cap_bestx1_balanced,CapAgent,3.8179419525065965,2.1688654353562007,450,25,0.95
random_True_1,random,True,cap_bestx1_aggressive,CapAgent,2.9076517150395778,2.2401055408970976,958,12,0.99
random_True_2,random,True,random_1,RandomAgent,1.596306068601583,1.121372031662269,371,25,
random_True_2,random,True,cap_bestx1_aggressive,CapAgent,3.965699208443272,2.649076517150396,997,25,0.99
random_True_2,random,True,cap_tier,CapAgent,5.237467018469657,3.7757255936675462,958,25,0.95
random_True_2,random,True,dynamic_cap_tier,DynamicCapAgent,1.9683377308707124,1.358839050131926,466,25,0.95
random_True_2,random,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,2.021108179419525,1.3693931398416888,399,25,0.95
random_True_2,random,True,cap_bestx1_balanced,CapAgent,4.5013192612137205,2.870712401055409,961,25,0.95
random_True_2,random,True,RLDeepAgent,RLDeepAgent,1.1530343007915567,0.7783641160949869,217,25,
random_True_2,random,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,3.8443271767810026,2.387862796833773,667,25,0.99
random_True_3,random,True,dynamic_cap_tier,DynamicCapAgent,2.300791556728232,1.7810026385224276,557,25,0.95
random_True_3,random,True,random_1,RandomAgent,1.5039577836411608,1.1820580474934037,291,25,
random_True_3,random,True,cap_tier,CapAgent,4.889182058047494,3.8970976253298155,989,25,0.95
random_True_3,random,True,cap_bestx1_aggressive,CapAgent,4.4485488126649075,2.9340369393139842,966,25,0.99
random_True_3,random,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,2.1266490765171504,1.3403693931398417,384,25,0.95
random_True_3,random,True,RLDeepAgent,RLDeepAgent,2.050131926121372,1.6860158311345645,568,23,
random_True_3,random,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.4934036939313984,1.8021108179419525,620,25,0.99
random_True_3,random,True,cap_bestx1_balanced,CapAgent,4.54353562005277,2.976253298153034,931,25,0.95
random_True_4,random,True,RLDeepAgent,RLDeepAgent,0.8839050131926122,0.7651715039577837,249,25,
random_True_4,random,True,dynamic_cap_tier,DynamicCapAgent,2.857519788918206,2.411609498680739,764,25,0.95
random_True_4,random,True,cap_bestx1_balanced,CapAgent,3.5936675461741423,2.113456464379947,755,25,0.95
random_True_4,random,True,random_1,RandomAgent,1.358839050131926,1.1029023746701847,297,25,
random_True_4,random,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,2.3060686015831133,1.5039577836411608,518,25,0.95
random_True_4,random,True,cap_tier,CapAgent,4.137203166226913,2.907651715039578,997,25,0.95
random_True_4,random,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.451187335092348,1.4907651715039578,607,25,0.99
random_True_4,random,True,cap_bestx1_aggressive,CapAgent,3.5672823218997363,2.6807387862796834,954,14,0.99
random_True_5,random,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,1.9393139841688654,1.4432717678100264,463,25,0.99
random_True_5,random,True,random_1,RandomAgent,1.5751978891820582,1.137203166226913,256,25,
random_True_5,random,True,cap_tier,CapAgent,4.480211081794195,3.604221635883905,897,25,0.95
random_True_5,random,True,cap_bestx1_aggressive,CapAgent,5.8680738786279685,4.229551451187335,993,25,0.99
random_True_5,random,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,2.12401055408971,1.4538258575197889,469,25,0.95
random_True_5,random,True,dynamic_cap_tier,DynamicCapAgent,2.1715039577836412,1.562005277044855,466,25,0.95
random_True_5,random,True,cap_bestx1_balanced,CapAgent,3.271767810026385,1.8469656992084433,536,25,0.95
random_True_5,random,True,RLDeepAgent,RLDeepAgent,1.770448548812665,1.4775725593667548,489,25,
random_False_1,random,False,RLDeepAgent,RLDeepAgent,0.22955145118733508,0.22955145118733508,35,7,
random_False_1,random,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.5804749340369393,0.8469656992084433,238,25,0.95
random_False_1,random,False,random_1,RandomAgent,2.4036939313984167,2.0211081794195254,641,25,
random_False_1,random,False,cap_bestx1_aggressive,CapAgent,5.218997361477572,3.6174142480211082,981,25,0.99
random_False_1,random,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.2453825857519787,1.6517150395778364,537,25,0.99
random_False_1,random,False,cap_tier,CapAgent,5.5514511873350925,4.459102902374671,1000,25,0.95
random_False_1,random,False,dynamic_cap_tier,DynamicCapAgent,2.203166226912929,1.7071240105540897,542,25,0.95
random_False_1,random,False,cap_bestx1_balanced,CapAgent,3.691292875989446,2.353562005277045,532,25,0.95
random_False_2,random,False,dynamic_cap_tier,DynamicCapAgent,2.0316622691292876,1.4485488126649075,482,25,0.95
random_False_2,random,False,random_1,RandomAgent,1.554089709762533,1.2348284960422165,360,25,
random_False_2,random,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,1.9261213720316623,1.2269129287598945,403,25,0.99
random_False_2,random,False,RLDeepAgent,RLDeepAgent,1.4802110817941951,1.036939313984169,346,25,
random_False_2,random,False,cap_bestx1_aggressive,CapAgent,4.912928759894459,3.253298153034301,992,25,0.99
random_False_2,random,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.4116094986807388,0.8311345646437994,248,25,0.95
random_False_2,random,False,cap_bestx1_balanced,CapAgent,5.688654353562005,4.142480211081795,728,25,0.95
random_False_2,random,False,cap_tier,CapAgent,4.675461741424802,3.5224274406332454,998,23,0.95
random_False_3,random,False,cap_tier,CapAgent,5.139841688654354,3.762532981530343,995,25,0.95
random_False_3,random,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.83377308707124,1.1134564643799472,308,25,0.95
random_False_3,random,False,random_1,RandomAgent,0.8179419525065963,0.5620052770448548,110,25,
random_False_3,random,False,cap_bestx1_aggressive,CapAgent,4.612137203166227,2.9736147757255935,997,25,0.99
random_False_3,random,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,1.9076517150395778,1.311345646437995,402,25,0.99
random_False_3,random,False,dynamic_cap_tier,DynamicCapAgent,1.6912928759894459,1.1635883905013191,332,25,0.95
random_False_3,random,False,RLDeepAgent,RLDeepAgent,2.9155672823219,2.6807387862796834,994,25,
random_False_3,random,False,cap_bestx1_balanced,CapAgent,3.4643799472295513,2.469656992084433,224,20,0.95
random_False_4,random,False,RLDeepAgent,RLDeepAgent,0.8601583113456465,0.5778364116094987,87,25,
random_False_4,random,False,cap_bestx1_aggressive,CapAgent,4.994722955145119,2.9182058047493404,996,25,0.99
random_False_4,random,False,random_1,RandomAgent,1.5382585751978892,1.200527704485488,216,25,
random_False_4,random,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.221635883905013,1.6490765171503958,478,25,0.99
random_False_4,random,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.6147757255936674,0.920844327176781,266,25,0.95
random_False_4,random,False,dynamic_cap_tier,DynamicCapAgent,1.8997361477572559,1.20844327176781,361,25,0.95
random_False_4,random,False,cap_tier,CapAgent,5.137203166226913,3.4511873350923485,1000,25,0.95
random_False_4,random,False,cap_bestx1_balanced,CapAgent,5.503957783641161,3.733509234828496,999,24,0.95
random_False_5,random,False,cap_bestx1_aggressive,CapAgent,5.224274406332454,3.445910290237467,995,25,0.99
random_False_5,random,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.5224274406332454,2.052770448548813,653,25,0.99
random_False_5,random,False,random_1,RandomAgent,2.073878627968338,1.532981530343008,486,25,
random_False_5,random,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,2.4195250659630605,1.7862796833773087,543,25,0.95
random_False_5,random,False,RLDeepAgent,RLDeepAgent,1.04221635883905,0.7730870712401055,177,25,
random_False_5,random,False,cap_tier,CapAgent,5.139841688654354,3.569920844327177,1000,25,0.95
random_False_5,random,False,dynamic_cap_tier,DynamicCapAgent,1.8759894459102904,1.237467018469657,361,25,0.95
random_False_5,random,False,cap_bestx1_balanced,CapAgent,3.5672823218997363,2.422163588390501,292,25,0.95
listone_True_1,listone,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.5646437994722957,1.9894459102902375,636,25,0.99
listone_True_1,listone,True,cap_tier,CapAgent,3.949868073878628,2.70712401055409,930,25,0.95
listone_True_1,listone,True,dynamic_cap_tier,DynamicCapAgent,2.678100263852243,1.9841688654353562,632,25,0.95
listone_True_1,listone,True,cap_bestx1_balanced,CapAgent,4.073878627968337,2.7150395778364116,497,25,0.95
listone_True_1,listone,True,random_1,RandomAgent,1.16622691292876,0.841688654353562,229,25,
listone_True_1,listone,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,2.2902374670184695,1.5883905013192612,547,25,0.95
listone_True_1,listone,True,RLDeepAgent,RLDeepAgent,0.0,0.0,0,0,
listone_True_1,listone,True,cap_bestx1_aggressive,CapAgent,3.4881266490765173,2.4274406332453826,977,14,0.99
listone_True_2,listone,True,cap_bestx1_aggressive,CapAgent,5.562005277044855,3.7941952506596306,994,25,0.99
listone_True_2,listone,True,dynamic_cap_tier,DynamicCapAgent,2.2242744063324538,1.6094986807387863,530,25,0.95
listone_True_2,listone,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.8469656992084433,1.1978891820580475,349,25,0.95
listone_True_2,listone,True,cap_bestx1_balanced,CapAgent,5.160949868073879,3.0923482849604222,964,25,0.95
listone_True_2,listone,True,cap_tier,CapAgent,3.786279683377309,2.6701846965699207,949,25,0.95
listone_True_2,listone,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.490765171503958,1.7678100263852243,525,25,0.99
listone_True_2,listone,True,RLDeepAgent,RLDeepAgent,0.9709762532981531,0.7176781002638523,169,25,
listone_True_2,listone,True,random_1,RandomAgent,3.1952506596306067,2.0976253298153034,904,25,
listone_True_3,listone,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,1.9656992084432718,1.424802110817942,410,25,0.99
listone_True_3,listone,True,cap_bestx1_aggressive,CapAgent,4.308707124010554,2.70712401055409,967,25,0.99
listone_True_3,listone,True,RLDeepAgent,RLDeepAgent,1.3430079155672823,0.9656992084432718,297,25,
listone_True_3,listone,True,random_1,RandomAgent,0.8944591029023746,0.6728232189973614,153,25,
listone_True_3,listone,True,dynamic_cap_tier,DynamicCapAgent,2.2770448548812663,1.6437994722955145,534,25,0.95
listone_True_3,listone,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.8364116094986807,1.0923482849604222,296,25,0.95
listone_True_3,listone,True,cap_tier,CapAgent,6.071240105540897,4.535620052770448,1000,25,0.95
listone_True_3,listone,True,cap_bestx1_balanced,CapAgent,4.171503957783641,2.538258575197889,697,24,0.95
listone_True_4,listone,True,dynamic_cap_tier,DynamicCapAgent,2.5013192612137205,1.9050131926121372,645,25,0.95
listone_True_4,listone,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.2981530343007917,1.675461741424802,547,25,0.99
listone_True_4,listone,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.8232189973614776,1.1081794195250658,367,25,0.95
listone_True_4,listone,True,random_1,RandomAgent,1.2559366754617414,0.9419525065963061,302,25,
listone_True_4,listone,True,cap_bestx1_balanced,CapAgent,4.728232189973615,2.907651715039578,907,25,0.95
listone_True_4,listone,True,cap_bestx1_aggressive,CapAgent,5.3403693931398415,3.4854881266490767,960,25,0.99
listone_True_4,listone,True,cap_tier,CapAgent,4.2348284960422165,3.216358839050132,864,25,0.95
listone_True_4,listone,True,RLDeepAgent,RLDeepAgent,1.9762532981530343,1.3852242744063323,481,19,
listone_True_5,listone,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,2.0026385224274406,1.403693931398417,412,25,0.95
listone_True_5,listone,True,RLDeepAgent,RLDeepAgent,0.8601583113456465,0.5963060686015832,145,25,
listone_True_5,listone,True,dynamic_cap_tier,DynamicCapAgent,2.0263852242744065,1.4327176781002637,454,25,0.95
listone_True_5,listone,True,cap_tier,CapAgent,4.493403693931398,3.3034300791556728,987,25,0.95
listone_True_5,listone,True,cap_bestx1_balanced,CapAgent,4.277044854881266,2.79155672823219,989,25,0.95
listone_True_5,listone,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.311345646437995,1.6121372031662269,535,25,0.99
listone_True_5,listone,True,cap_bestx1_aggressive,CapAgent,5.952506596306069,4.005277044854881,986,25,0.99
listone_True_5,listone,True,random_1,RandomAgent,2.905013192612137,1.934036939313984,725,25,
listone_False_1,listone,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.8179419525065965,2.094986807387863,646,25,0.99
listone_False_1,listone,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.9868073878627968,1.3007915567282322,409,25,0.95
listone_False_1,listone,False,RLDeepAgent,RLDeepAgent,1.2110817941952507,0.9050131926121373,180,25,
listone_False_1,listone,False,cap_tier,CapAgent,4.899736147757256,3.786279683377309,929,25,0.95
listone_False_1,listone,False,dynamic_cap_tier,DynamicCapAgent,1.9102902374670185,1.2902374670184695,383,25,0.95
listone_False_1,listone,False,cap_bestx1_aggressive,CapAgent,5.158311345646438,3.5145118733509233,984,25,0.99
listone_False_1,listone,False,random_1,RandomAgent,1.0052770448548813,0.7493403693931397,254,25,
listone_False_1,listone,False,cap_bestx1_balanced,CapAgent,3.841688654353562,2.6226912928759893,896,25,0.95
listone_False_2,listone,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.8284960422163588,1.1029023746701847,281,25,0.95
listone_False_2,listone,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.575197889182058,1.6226912928759893,565,25,0.99
listone_False_2,listone,False,random_1,RandomAgent,1.0976253298153034,0.7783641160949869,230,25,
listone_False_2,listone,False,dynamic_cap_tier,DynamicCapAgent,1.812664907651715,1.3482849604221636,399,25,0.95
listone_False_2,listone,False,RLDeepAgent,RLDeepAgent,1.2559366754617414,1.0580474934036939,285,25,
listone_False_2,listone,False,cap_tier,CapAgent,5.063324538258575,3.878627968337731,976,25,0.95
listone_False_2,listone,False,cap_bestx1_balanced,CapAgent,4.04221635883905,2.95778364116095,958,25,0.95
listone_False_2,listone,False,cap_bestx1_aggressive,CapAgent,2.9815303430079156,2.532981530343008,986,12,0.99
listone_False_3,listone,False,cap_bestx1_aggressive,CapAgent,4.245382585751979,2.8944591029023745,997,25,0.99
listone_False_3,listone,False,cap_bestx1_balanced,CapAgent,5.013192612137203,3.4485488126649075,637,25,0.95
listone_False_3,listone,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.7810026385224274,1.1187335092348285,311,25,0.95
listone_False_3,listone,False,dynamic_cap_tier,DynamicCapAgent,2.2638522427440635,1.6807387862796834,528,25,0.95
listone_False_3,listone,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.691292875989446,1.978891820580475,559,25,0.99
listone_False_3,listone,False,cap_tier,CapAgent,5.443271767810026,4.073878627968337,1000,25,0.95
listone_False_3,listone,False,RLDeepAgent,RLDeepAgent,0.9709762532981531,0.7176781002638523,162,25,
listone_False_3,listone,False,random_1,RandomAgent,2.5778364116094985,1.83377308707124,658,25,
listone_False_4,listone,False,random_1,RandomAgent,1.482849604221636,1.1108179419525066,354,25,
listone_False_4,listone,False,cap_bestx1_aggressive,CapAgent,4.6596306068601585,3.2189973614775726,993,25,0.99
listone_False_4,listone,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.41688654353562,1.767810026385224,487,25,0.99
listone_False_4,listone,False,dynamic_cap_tier,DynamicCapAgent,2.0474934036939314,1.4142480211081794,421,25,0.95
listone_False_4,listone,False,cap_bestx1_balanced,CapAgent,4.96042216358839,3.4432717678100264,853,25,0.95
listone_False_4,listone,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.8153034300791557,1.108179419525066,332,25,0.95
listone_False_4,listone,False,cap_tier,CapAgent,5.361477572559367,4.158311345646438,919,25,0.95
listone_False_4,listone,False,RLDeepAgent,RLDeepAgent,2.5171503957783643,1.9762532981530343,696,25,
listone_False_5,listone,False,cap_bestx1_balanced,CapAgent,4.063324538258575,2.9182058047493404,472,25,0.95
listone_False_5,listone,False,cap_tier,CapAgent,6.274406332453826,4.319261213720317,992,25,0.95
listone_False_5,listone,False,cap_bestx1_aggressive,CapAgent,4.762532981530343,3.0976253298153034,989,25,0.99
listone_False_5,listone,False,dynamic_cap_tier,DynamicCapAgent,1.8073878627968338,1.2189973614775726,350,25,0.95
listone_False_5,listone,False,dynamic_cap_bestx1_aggressive,DynamicCapAgent,2.6728232189973613,2.0686015831134568,571,25,0.99
listone_False_5,listone,False,RLDeepAgent,RLDeepAgent,1.4116094986807388,1.1160949868073877,331,25,
listone_False_5,listone,False,random_1,RandomAgent,0.9630606860158312,0.7493403693931399,157,25,
listone_False_5,listone,False,dynamic_cap_bestx1_balanced,DynamicCapAgent,1.891820580474934,1.0580474934036939,266,25,0.95
chiamata_True_1,chiamata,True,random_1,RandomAgent,3.4089709762532983,1.883905013192612,1000,25,
chiamata_True_1,chiamata,True,dynamic_cap_bestx1_balanced,DynamicCapAgent,3.9868073878627968,2.3298153034300793,972,25,0.95
chiamata_True_1,chiamata,True,dynamic_cap_bestx1_aggressive,DynamicCapAgent,4.005277044854881,2.3113456464379944,973,25,0.99
chiamata_True_1,chiamata,True,cap_bestx1_aggressive,CapAgent,3.920844327176781,2.9445910290237465,997,25,0.99
chiamata_True_1,chiamata,True,cap_tier,CapAgent,4.205804749340369,2.54089709762533,1000,25,0.95
